日期,教案1,教案2,教案3
DAY1,橫花樣(七八),自由造型(四之一),
DAY2,補差(八),自由造型(三四之三),
DAY3,短文造型,自由造型(三四之二),
DAY4,測量面積(七),自由造型(三四之一),
DAY5,測量長度(八),自由造型(三之三),
DAY6,組合正方形(七),自由造型(三之二),
DAY7,組合三角形(七),自由造型(三之一),
DAY8,基礎寫字(七八九十),四方向對稱(四),
DAY9,直徑(九),四方向對稱(三四),
DAY10,形內寫字(七八九十),四方向對稱(三),
DAY11,自由造型(七八九十),分解組合(四),
DAY12,自由造型(七八),分解組合(三四),
DAY13,四方向對稱(七八),分解組合(三),
DAY14,以點鋪線形(十),中間容積量(四),
DAY15,以線圍形(八),中間容積量(三),
DAY16,三段式(九十),轉動(二),
DAY17,三方向對稱(七八),數數(一),
DAY18,組合梯形(五),滾動(二),
DAY19,組合長方形(五),幾何特性(二),
DAY20,倍數(四),猜位置(一),
DAY21,放回(九十),基本運動(一),
DAY22,放回(七八),長度順序(八),
DAY23,自由造型(八之三),投影面(二),
DAY24,自由造型(八之二),比較(一二),
DAY25,自由造型(八之一),分類(二),
DAY26,自由造型(七之三),分類(一),
DAY27,自由造型(七之二),大小順序(九),
DAY28,自由造型(七之一),三段式(二),
DAY29,三段式(八),三段式(一),
DAY30,三段式(七),序數(一),
DAY31,組合正方形(五),模擬運動(一),
DAY32,組合三角形(五),轉球運動(一),
DAY33,基本正方形(五),,
DAY34,基本三角形(五),,
DAY35,中間容積量（四）大班,,
DAY36,中間容積量（三）大班,,
DAY37,取放(六),,
DAY38,自由造型(六之三),,
DAY39,自由造型(六之二),,
DAY40,自由造型(六之一),,
DAY41,自由造型(五六),,
DAY42,自由造型(五之三),,
DAY43,自由造型(五之二),,
DAY44,自由造型(五之一),,
DAY45,分類(六),,
DAY46,分類(五),,
DAY47,分解組合(六),,
DAY48,分解組合(五),,
DAY49,中間容積量(六),,
DAY50,中間容積量(五),,
DAY51,三段式(六),,
DAY52,三段式(五),,
DAY53,三方向對稱(六),,
DAY54,三方向對稱(五六),,
DAY55,橫花樣(四),,
DAY56,橫花樣(三),,
DAY57,取放(四),,
DAY58,取放(三),,
DAY59,自由造型(四之三),,
DAY60,自由造型(四之二),,
